Year,Section,Population,Deployed_Amount,Crime_Amount,Crime_Rate
2020,derbyshire,2377220,3894,118984,0.050051741109363036
2020,dorset,921953,2971,73106,0.07929471458957235
2020,durham,1150560,2335,80793,0.07022058823529412
2020,dyfed-powys,623206,2212,45292,0.07267580864112348
2020,essex,3292080,6461,208082,0.06320684795023207
2020,gloucestershire,707762,2651,60305,0.08520519609699306
2020,gwent,1214485,2281,67301,0.055415258319369935
2020,hampshire,2168004,5406,176708,0.08150722969145813
2020,hertfordshire,2411455,4425,102893,0.04266843047040065
2020,humberside,956133,3776,100781,0.10540479201115326
2020,kent,2558810,7250,216547,0.08462801067683806
2020,lancashire,2085457,6106,215683,0.10342241532671256
2020,leicestershire,1212044,4196,94575,0.0780293454693064
2020,lincolnshire,798121,1919,73020,0.09148988687179012
2020,merseyside,1481740,6362,173437,0.11704954985355055
2020,norfolk,1572633,3379,78396,0.04985015575789138
2020,north-wales,728160,3012,70665,0.097045978905735
2020,north-yorkshire,969792,3227,71384,0.07360753646142679
2020,northamptonshire,1502348,2647,86543,0.0576051620529997
2020,northumbria,1498777,5381,200151,0.1335428819630939
2020,nottinghamshire,1962705,3903,135729,0.0691540501501754
2020,south-wales,1689455,6025,147978,0.0875891929645951
2020,south-yorkshire,1720316,5372,167555,0.09739780365932771
2020,staffordshire,1457178,3518,98924,0.0678873823239165
2020,suffolk,1425061,2588,61138,0.042902023141465524
2020,surrey,1559885,4059,97757,0.06266936344666434
2020,sussex,2830236,5756,160850,0.056832716423648066
2020,thames-valley,2439594,9067,178278,0.07307691361759375
2020,warwickshire,1307993,2093,54927,0.04199334400107646
2020,west-mercia,2047754,4532,104676,0.05111746821151369
2020,west-midlands,3334970,11338,322797,0.09679157533650977
2020,west-yorkshire,2407396,10601,306779,0.12743188075414266
2020,wiltshire,842734,2523,52442,0.062228413710613315
