,Year,Geo_Code,Force_Name,Deployed_Amount
410,2019,E23000024,Norfolk,3218
411,2019,E23000025,Suffolk,2468
412,2019,E23000026,Bedfordshire,2518
413,2019,E23000027,Hertfordshire,4356
414,2019,E23000028,Essex,6118
415,2019,E23000029,Thames Valley,8809
416,2019,E23000030,Hampshire,5484
417,2019,E23000031,Surrey,4016
418,2019,E23000032,Kent,7053
419,2019,E23000033,Sussex,5383
420,2019,E23000034,"London, City of",1280
421,2019,E23000035,Devon & Cornwall,6139
422,2019,E23000036,Avon & Somerset,6320
423,2019,E23000037,Gloucestershire,2418
424,2019,E23000038,Wiltshire,2523
425,2019,E23000039,Dorset,2873
426,2019,W15000001,North Wales,3061
427,2019,W15000002,Gwent,2198
428,2019,W15000003,South Wales,5782
429,2019,W15000004,Dyfed-Powys,2190
430,2020,E23000001,Metropolitan Police,46797
431,2020,E23000002,Cumbria,2178
432,2020,E23000003,Lancashire,6106
433,2020,E23000004,Merseyside,6362
434,2020,E23000005,Greater Manchester,11750
435,2020,E23000006,Cheshire,4193
436,2020,E23000007,Northumbria,5381
437,2020,E23000008,Durham,2335
438,2020,E23000009,North Yorkshire,3227
439,2020,E23000010,West Yorkshire,10601
440,2020,E23000011,South Yorkshire,5372
441,2020,E23000012,Humberside,3776
442,2020,E23000013,Cleveland,2148
443,2020,E23000014,West Midlands,11338
444,2020,E23000015,Staffordshire,3518
445,2020,E23000016,West Mercia,4532
446,2020,E23000017,Warwickshire,2093
447,2020,E23000018,Derbyshire,3894
448,2020,E23000019,Nottinghamshire,3903
449,2020,E23000020,Lincolnshire,1919
450,2020,E23000021,Leicestershire,4196
451,2020,E23000022,Northamptonshire,2647
452,2020,E23000023,Cambridgeshire,2851
453,2020,E23000024,Norfolk,3379
454,2020,E23000025,Suffolk,2588
455,2020,E23000026,Bedfordshire,2565
456,2020,E23000027,Hertfordshire,4425
457,2020,E23000028,Essex,6461
458,2020,E23000029,Thames Valley,9067
459,2020,E23000030,Hampshire,5406
460,2020,E23000031,Surrey,4059
461,2020,E23000032,Kent,7250
462,2020,E23000033,Sussex,5756
463,2020,E23000034,"London, City of",1314
464,2020,E23000035,Devon & Cornwall,6496
465,2020,E23000036,Avon & Somerset,6473
466,2020,E23000037,Gloucestershire,2651
467,2020,E23000038,Wiltshire,2523
468,2020,E23000039,Dorset,2971
469,2020,W15000001,North Wales,3012
470,2020,W15000002,Gwent,2281
471,2020,W15000003,South Wales,6025
472,2020,W15000004,Dyfed-Powys,2212
473,2021,E23000001,Metropolitan Police,47870
474,2021,E23000002,Cumbria,2180
475,2021,E23000003,Lancashire,6341
476,2021,E23000004,Merseyside,6837
477,2021,E23000005,Greater Manchester,12015
478,2021,E23000006,Cheshire,4244
479,2021,E23000007,Northumbria,5739
480,2021,E23000008,Durham,2462
481,2021,E23000009,North Yorkshire,3252
482,2021,E23000010,West Yorkshire,10825
483,2021,E23000011,South Yorkshire,5649
484,2021,E23000012,Humberside,3935
485,2021,E23000013,Cleveland,2530
486,2021,E23000014,West Midlands,12333
487,2021,E23000015,Staffordshire,3710
488,2021,E23000016,West Mercia,4557
489,2021,E23000017,Warwickshire,2087
490,2021,E23000018,Derbyshire,3937
491,2021,E23000019,Nottinghamshire,3958
492,2021,E23000020,Lincolnshire,1971
493,2021,E23000021,Leicestershire,4435
494,2021,E23000022,Northamptonshire,2738
495,2021,E23000023,Cambridgeshire,2887
496,2021,E23000024,Norfolk,3443
497,2021,E23000025,Suffolk,2703
498,2021,E23000026,Bedfordshire,2669
499,2021,E23000027,Hertfordshire,4357
500,2021,E23000028,Essex,6661
501,2021,E23000029,Thames Valley,9153
502,2021,E23000030,Hampshire,5827
503,2021,E23000031,Surrey,4435
504,2021,E23000032,Kent,7693
505,2021,E23000033,Sussex,6002
506,2021,E23000034,"London, City of",1467
507,2021,E23000035,Devon & Cornwall,6710
508,2021,E23000036,Avon & Somerset,7163
509,2021,E23000037,Gloucestershire,2700
510,2021,E23000038,Wiltshire,2588
511,2021,E23000039,Dorset,3114
512,2021,W15000001,North Wales,3055
513,2021,W15000002,Gwent,2419
514,2021,W15000003,South Wales,6269
515,2021,W15000004,Dyfed-Powys,2296
