Year,Month,Section,Amount
2011,12,avon-and-somerset,12245
2011,12,bedfordshire,5297
2011,12,btp,4059
2011,12,cambridgeshire,6182
2011,12,cheshire,7529
2011,12,city-of-london,557
2011,12,cleveland,6719
2011,12,cumbria,3753
2011,12,derbyshire,8301
2011,12,devon-and-cornwall,10314
2011,12,dorset,5987
2011,12,durham,5299
2011,12,dyfed-powys,3170
2011,12,essex,12487
2011,12,gloucestershire,4435
2011,12,greater-manchester,23911
2011,12,gwent,4603
2011,12,hampshire,14564
2011,12,hertfordshire,8033
2011,12,humberside,6623
2011,12,kent,12201
2011,12,lancashire,13301
2011,12,leicestershire,6739
2011,12,lincolnshire,5383
2011,12,merseyside,11156
2011,12,metropolitan,87057
2011,12,norfolk,5060
2011,12,north-wales,5289
2011,12,north-yorkshire,5949
2011,12,northamptonshire,6071
2011,12,northern-ireland,12227
2011,12,northumbria,11497
2011,12,nottinghamshire,8809
2011,12,south-wales,11472
2011,12,south-yorkshire,15156
2011,12,staffordshire,6393
2011,12,suffolk,5812
2011,12,surrey,7998
2011,12,sussex,12490
2011,12,thames-valley,14037
2011,12,warwickshire,3911
2011,12,west-mercia,9335
2011,12,west-midlands,20732
2011,12,west-yorkshire,19749
2011,12,wiltshire,4912
2012,1,avon-and-somerset,12840
2012,1,bedfordshire,5318
2012,1,btp,3999
2012,1,cambridgeshire,6204
2012,1,cheshire,7510
2012,1,city-of-london,615
2012,1,cleveland,6557
2012,1,cumbria,3736
2012,1,derbyshire,8635
2012,1,devon-and-cornwall,10240
2012,1,dorset,5733
2012,1,durham,5110
2012,1,dyfed-powys,3113
2012,1,essex,12768
2012,1,gloucestershire,4406
2012,1,greater-manchester,24548
2012,1,gwent,4859
2012,1,hampshire,14968
2012,1,hertfordshire,8043
2012,1,humberside,6762
2012,1,kent,12428
2012,1,lancashire,13294
2012,1,leicestershire,7170
2012,1,lincolnshire,5437
2012,1,merseyside,11901
2012,1,metropolitan,91032
2012,1,norfolk,5296
2012,1,north-wales,5207
2012,1,north-yorkshire,5599
2012,1,northamptonshire,6425
2012,1,northern-ireland,12137
2012,1,northumbria,11911
2012,1,nottinghamshire,9419
2012,1,south-wales,11074
2012,1,south-yorkshire,15871
2012,1,staffordshire,7622
2012,1,suffolk,5704
2012,1,surrey,8246
2012,1,sussex,13245
2012,1,thames-valley,15105
2012,1,warwickshire,3970
2012,1,west-mercia,9453
2012,1,west-midlands,20904
2012,1,west-yorkshire,21146
2012,1,wiltshire,3406
2012,2,avon-and-somerset,12515
2012,2,bedfordshire,5136
2012,2,btp,4071
2012,2,cambridgeshire,5918
2012,2,cheshire,7251
2012,2,city-of-london,655
2012,2,cleveland,6551
2012,2,cumbria,3763
2012,2,derbyshire,8684
2012,2,devon-and-cornwall,9513
2012,2,dorset,5464
2012,2,durham,5007
2012,2,dyfed-powys,3062
2012,2,essex,12255
2012,2,gloucestershire,4199
2012,2,greater-manchester,24223
2012,2,gwent,4588
2012,2,hampshire,14540
2012,2,hertfordshire,8092
2012,2,humberside,7106
2012,2,kent,12222
2012,2,lancashire,12696
2012,2,leicestershire,7323
2012,2,lincolnshire,5341
2012,2,merseyside,11426
2012,2,metropolitan,85064
2012,2,norfolk,5262
2012,2,north-wales,5285
2012,2,north-yorkshire,5415
2012,2,northamptonshire,6191
2012,2,northern-ireland,12315
2012,2,northumbria,12379
2012,2,nottinghamshire,9488
2012,2,south-wales,10852
2012,2,south-yorkshire,16071
2012,2,staffordshire,6998
2012,2,suffolk,5715
2012,2,surrey,8094
2012,2,sussex,11739
2012,2,thames-valley,13804
2012,2,warwickshire,4082
2012,2,west-mercia,9195
2012,2,west-midlands,20824
2012,2,west-yorkshire,20402
2012,2,wiltshire,4702
2012,3,avon-and-somerset,14218
2012,3,bedfordshire,5916
2012,3,btp,4513
2012,3,cambridgeshire,6896
2012,3,cheshire,8719
2012,3,city-of-london,720
2012,3,cleveland,7548
2012,3,cumbria,4350
2012,3,derbyshire,10280
2012,3,devon-and-cornwall,11047
2012,3,dorset,6320
2012,3,durham,5495
2012,3,dyfed-powys,3822
2012,3,essex,14083
2012,3,gloucestershire,4966
2012,3,greater-manchester,28091
2012,3,gwent,5152
2012,3,hampshire,16387
2012,3,hertfordshire,8562
2012,3,humberside,7513
2012,3,kent,13928
2012,3,lancashire,16689
2012,3,leicestershire,8253
2012,3,lincolnshire,6370
2012,3,merseyside,13858
2012,3,metropolitan,101527
2012,3,norfolk,5953
2012,3,north-wales,6326
2012,3,north-yorkshire,6330
2012,3,northamptonshire,6953
2012,3,northern-ireland,14286
2012,3,northumbria,15070
2012,3,nottinghamshire,10844
2012,3,south-wales,12311
2012,3,south-yorkshire,18017
2012,3,staffordshire,9086
2012,3,suffolk,5994
2012,3,surrey,8665
2012,3,sussex,14194
2012,3,thames-valley,15871
2012,3,warwickshire,4649
2012,3,west-mercia,10767
2012,3,west-midlands,22930
2012,3,west-yorkshire,23331
2012,3,wiltshire,5508
2012,4,avon-and-somerset,12826
2012,4,bedfordshire,5231
2012,4,btp,3850
2012,4,cambridgeshire,6080
2012,4,cheshire,7597
2012,4,city-of-london,557
2012,4,cleveland,6579
2012,4,cumbria,4207
2012,4,derbyshire,8465
2012,4,devon-and-cornwall,9905
2012,4,dorset,5838
2012,4,durham,4581
2012,4,dyfed-powys,3417
2012,4,essex,12141
2012,4,gloucestershire,4349
2012,4,greater-manchester,24920
2012,4,gwent,4220
2012,4,hampshire,14986
2012,4,hertfordshire,7835
2012,4,humberside,6911
2012,4,kent,12094
2012,4,lancashire,15258
2012,4,leicestershire,7097
2012,4,lincolnshire,5512
2012,4,merseyside,12114
2012,4,metropolitan,90378
2012,4,norfolk,5491
2012,4,north-wales,5422
2012,4,north-yorkshire,5690
2012,4,northamptonshire,6264
2012,4,northern-ireland,12782
2012,4,northumbria,12414
2012,4,nottinghamshire,9256
2012,4,south-wales,11232
2012,4,south-yorkshire,13731
2012,4,staffordshire,7360
2012,4,suffolk,5503
2012,4,surrey,7639
2012,4,sussex,12243
2012,4,thames-valley,13990
2012,4,warwickshire,4106
2012,4,west-mercia,9385
2012,4,west-midlands,20534
2012,4,west-yorkshire,20658
2012,4,wiltshire,4935
2012,5,avon-and-somerset,14453
2012,5,bedfordshire,6036
2012,5,btp,4635
2012,5,cambridgeshire,6722
2012,5,cheshire,8336
2012,5,city-of-london,612
2012,5,cleveland,6956
2012,5,cumbria,4370
2012,5,derbyshire,9447
2012,5,devon-and-cornwall,10838
2012,5,dorset,6644
2012,5,durham,4853
2012,5,dyfed-powys,4035
2012,5,essex,13989
2012,5,gloucestershire,4627
2012,5,greater-manchester,27114
2012,5,gwent,4632
2012,5,hampshire,17072
2012,5,hertfordshire,8135
2012,5,humberside,7652
2012,5,kent,13509
2012,5,lancashire,16865
2012,5,leicestershire,7585
2012,5,lincolnshire,5888
2012,5,merseyside,13048
2012,5,metropolitan,100532
2012,5,norfolk,5818
2012,5,north-wales,6413
2012,5,north-yorkshire,6076
2012,5,northamptonshire,7185
2012,5,northern-ireland,13656
2012,5,northumbria,13420
2012,5,nottinghamshire,9832
2012,5,south-wales,11862
2012,5,south-yorkshire,15701
2012,5,staffordshire,7811
2012,5,suffolk,5909
2012,5,surrey,8623
2012,5,sussex,13664
2012,5,thames-valley,14124
2012,5,warwickshire,4405
2012,5,west-mercia,10564
2012,5,west-midlands,22101
2012,5,west-yorkshire,22220
2012,5,wiltshire,5533
2012,6,avon-and-somerset,13512
2012,6,bedfordshire,5559
2012,6,btp,4522
2012,6,cambridgeshire,6550
2012,6,cheshire,7861
2012,6,city-of-london,603
2012,6,cleveland,6496
2012,6,cumbria,4072
2012,6,derbyshire,8922
2012,6,devon-and-cornwall,10147
2012,6,dorset,6004
2012,6,durham,4767
2012,6,dyfed-powys,3927
2012,6,essex,13291
2012,6,gloucestershire,4542
2012,6,greater-manchester,25245
2012,6,gwent,4023
2012,6,hampshire,16233
2012,6,hertfordshire,7931
2012,6,humberside,7357
2012,6,kent,12862
2012,6,lancashire,15570
2012,6,leicestershire,7222
2012,6,lincolnshire,5837
2012,6,merseyside,12144
2012,6,metropolitan,97356
2012,6,norfolk,6373
2012,6,north-wales,5811
2012,6,north-yorkshire,6115
2012,6,northamptonshire,6784
2012,6,northern-ireland,13020
2012,6,northumbria,12940
2012,6,nottinghamshire,9638
2012,6,south-wales,10825
2012,6,south-yorkshire,14935
2012,6,staffordshire,7175
2012,6,suffolk,5865
2012,6,surrey,8168
2012,6,sussex,13194
2012,6,thames-valley,14246
2012,6,warwickshire,4321
2012,6,west-mercia,10220
2012,6,west-midlands,20518
2012,6,west-yorkshire,21042
2012,6,wiltshire,5078
2012,7,avon-and-somerset,14062
2012,7,bedfordshire,5978
2012,7,btp,5160
2012,7,cambridgeshire,6910
2012,7,cheshire,8613
2012,7,city-of-london,730
2012,7,cleveland,6890
2012,7,cumbria,4390
2012,7,derbyshire,9371
2012,7,devon-and-cornwall,11193
2012,7,dorset,6609
2012,7,durham,5208
2012,7,dyfed-powys,4137
2012,7,essex,13980
2012,7,gloucestershire,4990
2012,7,greater-manchester,27504
2012,7,gwent,4881
2012,7,hampshire,16388
2012,7,hertfordshire,8247
2012,7,humberside,7904
2012,7,kent,14008
2012,7,lancashire,17229
2012,7,leicestershire,7496
2012,7,lincolnshire,6324
2012,7,merseyside,13143
2012,7,metropolitan,100772
2012,7,norfolk,6622
2012,7,north-wales,6279
2012,7,north-yorkshire,6398
2012,7,northamptonshire,6963
2012,7,northern-ireland,14883
2012,7,northumbria,14121
2012,7,nottinghamshire,9268
2012,7,south-wales,11192
2012,7,south-yorkshire,15932
2012,7,staffordshire,8703
2012,7,suffolk,6372
2012,7,surrey,8551
2012,7,sussex,14222
2012,7,thames-valley,14752
2012,7,warwickshire,4920
2012,7,west-mercia,10976
2012,7,west-midlands,22703
2012,7,west-yorkshire,22479
2012,7,wiltshire,5271
2012,8,avon-and-somerset,14094
2012,8,bedfordshire,6081
2012,8,btp,5257
2012,8,cambridgeshire,7050
2012,8,cheshire,8725
2012,8,city-of-london,615
2012,8,cleveland,7220
2012,8,cumbria,4560
2012,8,derbyshire,9219
2012,8,devon-and-cornwall,11857
2012,8,dorset,7068
2012,8,durham,5427
2012,8,dyfed-powys,4158
2012,8,essex,14666
2012,8,gloucestershire,5049
2012,8,greater-manchester,27186
2012,8,gwent,5091
2012,8,hampshire,17466
2012,8,hertfordshire,8208
2012,8,humberside,8196
2012,8,kent,14362
2012,8,lancashire,17364
2012,8,leicestershire,7239
2012,8,lincolnshire,6211
2012,8,merseyside,13854
2012,8,metropolitan,103206
2012,8,norfolk,6928
2012,8,north-wales,6197
2012,8,north-yorkshire,6993
2012,8,northamptonshire,7322
2012,8,northern-ireland,15721
2012,8,northumbria,14688
2012,8,nottinghamshire,9213
2012,8,south-wales,11386
2012,8,south-yorkshire,15736
2012,8,staffordshire,8281
2012,8,suffolk,6359
2012,8,surrey,8576
2012,8,sussex,14734
2012,8,thames-valley,15210
2012,8,warwickshire,4524
2012,8,west-mercia,11036
2012,8,west-midlands,22859
2012,8,west-yorkshire,22927
2012,8,wiltshire,5464
2012,9,avon-and-somerset,13504
2012,9,bedfordshire,5303
2012,9,btp,4649
2012,9,cambridgeshire,6376
2012,9,cheshire,8025
2012,9,city-of-london,527
2012,9,cleveland,6592
2012,9,cumbria,4027
2012,9,derbyshire,8801
2012,9,devon-and-cornwall,10775
2012,9,dorset,6238
2012,9,durham,4954
2012,9,dyfed-powys,3548
2012,9,essex,12713
2012,9,gloucestershire,4654
2012,9,greater-manchester,24827
2012,9,gwent,4798
2012,9,hampshire,15145
2012,9,hertfordshire,7182
2012,9,humberside,7401
2012,9,kent,12619
2012,9,lancashire,15208
2012,9,leicestershire,6930
2012,9,lincolnshire,5493
2012,9,merseyside,12569
2012,9,metropolitan,89871
2012,9,norfolk,6469
2012,9,north-wales,5305
2012,9,north-yorkshire,6134
2012,9,northamptonshire,6790
2012,9,northern-ireland,14175
2012,9,northumbria,13535
2012,9,nottinghamshire,8424
2012,9,south-wales,10152
2012,9,south-yorkshire,15187
2012,9,staffordshire,7822
2012,9,suffolk,5820
2012,9,surrey,7848
2012,9,sussex,13180
2012,9,thames-valley,12882
2012,9,warwickshire,4079
2012,9,west-mercia,10005
2012,9,west-midlands,20829
2012,9,west-yorkshire,20753
2012,9,wiltshire,5288
2012,10,avon-and-somerset,13410
2012,10,bedfordshire,5172
2012,10,btp,5033
2012,10,cambridgeshire,6656
2012,10,cheshire,8610
2012,10,city-of-london,582
2012,10,cleveland,7379
2012,10,cumbria,4175
2012,10,derbyshire,8617
2012,10,devon-and-cornwall,10675
2012,10,dorset,5850
2012,10,durham,5116
2012,10,dyfed-powys,3525
2012,10,essex,13503
2012,10,gloucestershire,4803
2012,10,greater-manchester,27169
2012,10,gwent,4639
2012,10,hampshire,14657
2012,10,hertfordshire,7368
2012,10,humberside,7579
2012,10,kent,12544
2012,10,lancashire,15552
2012,10,leicestershire,7402
2012,10,lincolnshire,5598
2012,10,merseyside,14466
2012,10,metropolitan,94536
2012,10,norfolk,6119
2012,10,north-wales,5443
